Canton;CodeCommune;Commune;BV;Inscrits;Votants;Abstention;Blancs et nuls;Exprimés;Kichi;Bousquet;Raphael;Loiseau;Asselineau;Geyres;Frison;Levieux;Feuillas;Costes;Nekkaz;Garcia-Luna;Miguet;Carpentier;Barral;Lebreton;Garay
4;25;BEAUVILLE;1;401;166;235;14;152;5;35;2;13;0;0;2;0;13;29;0;2;0;10;37;1;3
4;30;BLAYMONT;1;196;90;106;9;81;0;11;5;7;0;0;0;0;1;18;0;1;0;1;35;2;0
4;62;CAUZAC;1;310;124;186;8;116;2;33;2;5;0;1;2;2;3;28;0;0;0;6;26;2;4
4;82;DONDAS;1;190;104;86;2;102;0;25;0;7;0;0;1;1;4;32;0;0;0;3;26;3;0
4;87;ENGAYRAC;1;139;73;66;6;67;1;8;3;4;1;0;0;1;8;14;0;0;0;5;20;2;0
4;255;SAINT-MARTIN-DE-BEAUVILLE;1;124;62;62;1;61;0;18;0;3;0;0;0;0;3;24;0;0;0;3;9;1;0
4;260;SAINT-MAURIN;1;333;142;191;7;135;4;45;1;7;1;1;2;0;7;38;0;0;1;9;18;1;0
4;305;TAYRAC;1;292;126;166;4;122;4;33;2;5;0;0;1;1;2;50;0;0;0;3;18;2;1
6;23;BEAUGAS;1;244;131;113;8;123;3;33;0;11;3;0;6;0;1;31;0;0;1;3;25;1;5
6;33;BOUDY-DE-BEAUREGARD;1;283;126;157;12;114;5;30;5;8;0;1;4;0;3;25;0;0;2;4;24;0;3
6;48;CANCON;1;886;461;425;17;444;9;128;7;18;1;0;6;3;9;110;0;0;6;14;123;9;1
6;49;CASSENEUIL;1;702;315;387;11;304;14;95;6;11;1;0;5;0;6;61;0;0;2;9;91;3;0
6;49;CASSENEUIL;2;944;424;520;26;398;14;102;6;23;1;1;8;1;11;107;0;1;7;12;94;9;1
6;55;CASTELNAUD-DE-GRATECAMBE;1;372;178;194;14;164;4;68;0;7;2;0;3;0;0;41;0;0;1;3;34;1;0
6;170;MONBAHUS;1;500;186;314;17;169;0;50;3;15;0;1;5;0;2;50;0;1;1;9;30;1;1
6;192;MONVIEL;1;65;40;25;1;39;0;10;1;2;2;0;0;0;0;19;0;0;0;1;4;0;0
6;193;MOULINET;1;166;77;89;7;70;3;23;2;3;0;0;0;0;3;18;0;0;0;2;13;1;2
6;198;PAILLOLES;1;243;123;120;15;108;1;30;1;8;2;0;0;0;6;15;0;0;1;2;37;3;2
6;259;SAINT-MAURICE-DE-LESTAPEL;1;99;57;42;0;57;0;17;2;0;0;0;2;0;3;20;0;0;0;1;11;0;1
9;44;CAHUZAC;1;224;130;94;10;120;0;36;4;11;0;0;9;0;2;23;0;0;0;3;27;2;3
9;57;CASTILLONNÈS;1;973;450;523;17;433;11;103;9;16;1;2;12;0;10;155;0;0;1;10;98;4;1
9;63;CAVARC;1;122;53;69;4;49;1;11;0;3;0;0;2;0;1;15;0;0;0;2;12;2;0
9;84;DOUZAINS;1;194;105;89;8;97;1;14;0;7;0;0;7;0;4;35;0;2;1;4;19;1;2
9;96;FERRENSAC;1;159;69;90;4;65;1;8;3;1;0;0;1;0;0;22;0;1;1;9;18;0;0
9;132;LALANDUSSE;1;121;60;61;4;56;1;14;0;3;2;0;2;0;3;13;0;0;0;3;12;2;1
9;152;LOUGRATTE;1;306;160;146;10;150;3;51;1;12;0;0;0;0;4;55;0;0;0;6;16;2;0
9;183;MONTAURIOL;1;163;88;75;1;87;1;29;2;1;1;0;7;0;6;16;0;0;0;2;19;2;1
9;272;SAINT-QUENTIN-DU-DROPT;1;144;79;65;6;73;2;9;1;0;0;0;4;0;10;18;0;0;0;3;26;0;0
9;299;SÉRIGNAC-PÉBOUDOU;1;118;65;53;6;59;0;17;1;5;1;0;1;0;3;14;0;0;0;4;9;4;0
13;29;BLANQUEFORT-SUR-BRIOLANCE;1;383;208;175;7;201;0;33;2;8;0;0;0;0;6;87;0;0;1;12;45;4;3
13;70;CONDEZAYGUES;1;677;358;319;11;347;2;61;1;8;2;0;2;1;7;141;0;2;1;12;99;2;6
13;77;CUZORN;1;733;388;345;11;377;2;63;0;11;2;1;1;2;6;189;0;0;1;7;83;2;7
13;106;FUMEL;1;554;305;249;7;298;1;35;1;9;4;0;2;0;4;184;0;0;1;3;50;0;4
13;106;FUMEL;2;936;544;392;17;527;6;67;4;16;1;0;0;1;6;276;0;0;2;10;125;2;11
13;106;FUMEL;3;714;366;348;14;352;4;57;1;11;2;0;1;1;5;183;0;0;5;6;76;0;0
13;106;FUMEL;4;274;123;151;4;119;0;11;0;7;1;1;1;0;6;70;0;0;0;6;15;1;0
13;106;FUMEL;5;557;274;283;12;262;1;36;1;5;2;0;2;0;3;154;0;0;0;4;44;4;6
13;106;FUMEL;6;738;432;306;16;416;3;72;0;12;1;0;0;0;11;223;0;2;1;4;76;3;8
13;179;MONSEMPRON-LIBOS;1;716;355;361;10;345;2;51;0;17;1;0;1;0;4;134;0;0;1;11;113;3;7
13;179;MONSEMPRON-LIBOS;2;513;257;256;6;251;2;27;1;5;1;3;0;0;3;106;0;0;1;10;79;5;8
13;179;MONSEMPRON-LIBOS;3;345;143;202;3;140;3;30;0;7;0;0;0;0;1;44;0;0;1;7;32;1;14
13;242;SAINT-FRONT-SUR-LÉMANCE;1;258;126;132;9;117;1;23;0;2;2;1;0;0;1;69;0;0;0;6;11;1;0
13;242;SAINT-FRONT-SUR-LÉMANCE;2;114;68;46;5;63;0;14;0;5;0;0;0;0;0;37;0;0;0;1;5;0;1
13;242;SAINT-FRONT-SUR-LÉMANCE;3;69;40;29;5;35;0;9;1;0;0;0;0;0;1;18;0;0;0;0;5;0;1
13;292;SAUVETERRE-LA-LÉMANCE;1;423;234;189;7;227;0;29;1;15;1;1;2;0;1;116;0;0;0;9;47;3;2
16;50;CASSIGNAS;1;100;54;46;2;52;4;14;0;2;0;0;2;0;2;7;0;0;0;6;14;0;1
16;53;CASTELLA;1;246;104;142;8;96;4;26;5;11;0;0;1;0;10;16;0;0;1;7;8;5;2
16;75;LA CROIX-BLANCHE;1;669;250;419;10;240;7;75;2;17;1;1;2;0;6;58;0;0;0;13;56;0;2
16;138;LAROQUE-TIMBAUT;1;1175;515;660;21;494;4;120;4;26;2;0;3;1;15;151;0;2;0;19;131;11;5
16;171;MONBALEN;1;307;142;165;13;129;2;38;3;11;0;1;0;0;6;15;0;1;3;5;37;6;1
16;273;SAINT-ROBERT;1;155;77;78;4;73;2;22;0;18;0;0;0;0;5;2;0;0;0;3;19;2;0
16;288;SAUVAGNAS;1;376;125;251;8;117;3;27;1;8;2;0;3;0;4;29;0;0;1;4;34;1;0
16;289;LA SAUVETAT-DE-SAVÈRES;1;342;130;212;4;126;2;43;4;11;0;0;2;0;5;14;0;1;1;2;34;6;1
23;99;FONGRAVE;1;469;200;269;10;190;4;56;1;11;0;0;1;0;4;33;0;1;0;8;53;17;1
23;173;MONCLAR;1;609;229;380;10;219;12;57;1;28;1;0;4;1;4;55;0;0;0;6;39;9;2
23;182;MONTASTRUC;1;200;89;111;7;82;2;31;0;6;0;0;4;0;1;25;0;2;0;1;10;0;0
23;206;PINEL-HAUTERIVE;1;246;100;146;2;98;5;29;1;5;1;0;0;0;6;19;0;0;0;2;26;2;2
23;206;PINEL-HAUTERIVE;2;135;61;74;3;58;2;4;0;2;0;1;3;0;3;22;0;0;0;4;12;3;2
23;239;SAINT-ETIENNE-DE-FOUGÈRES;1;664;259;405;13;246;14;89;2;19;3;0;2;1;7;56;0;1;0;4;38;7;3
23;265;SAINT-PASTOUR;1;283;110;173;4;106;8;29;1;8;0;0;1;0;5;17;0;1;1;4;31;0;0
23;309;TOMBEBOEUF;1;325;143;182;6;137;2;37;5;14;0;0;5;0;3;36;0;1;0;5;26;2;1
23;313;TOURTRÈS;1;103;56;47;4;52;0;19;1;1;0;1;1;0;0;19;0;0;0;2;7;1;0
23;319;VILLEBRAMAR;1;70;29;41;3;26;0;9;0;1;0;0;0;0;0;8;0;0;0;1;7;0;0
24;109;GAVAUDUN;1;215;120;95;7;113;6;40;0;8;5;0;4;0;5;22;0;0;0;8;13;0;2
24;123;LACAPELLE-BIRON;1;356;184;172;9;175;1;25;2;15;3;0;0;0;4;32;0;0;0;7;77;3;6
24;124;LACAUSSADE;1;167;76;91;1;75;0;11;1;1;0;0;5;0;2;34;0;0;0;5;15;0;1
24;141;LAUSSOU;1;222;100;122;4;96;7;17;1;2;0;0;0;0;6;22;0;0;0;7;34;0;0
24;175;MONFLANQUIN;1;890;440;450;21;419;6;79;7;29;4;2;8;0;8;124;0;0;3;25;118;2;4
24;175;MONFLANQUIN;2;851;377;474;19;358;15;77;1;25;6;0;4;2;4;117;0;0;3;17;77;7;3
24;178;MONSÉGUR;1;330;167;163;4;163;0;43;3;8;0;2;0;0;3;53;0;0;0;5;42;1;3
24;181;MONTAGNAC-SUR-LÈDE;1;220;96;124;2;94;4;23;1;1;1;0;2;0;6;33;0;0;0;0;21;0;2
24;202;PAULHIAC;1;213;105;108;6;99;1;28;3;8;1;3;0;0;7;12;0;0;0;5;28;0;3
24;230;SAINT-AUBIN;1;340;153;187;8;145;1;39;1;1;0;2;5;0;6;54;0;0;0;4;30;2;0
24;284;SALLES;1;216;121;95;9;112;2;35;1;5;0;0;2;0;0;37;0;0;1;4;23;1;1
24;291;LA SAUVETAT-SUR-LÈDE;1;430;208;222;10;198;5;68;3;9;1;0;5;0;9;48;0;0;1;9;30;5;5
24;295;SAVIGNAC-SUR-LEYZE;1;234;97;137;11;86;3;17;0;5;1;0;4;0;5;18;0;0;0;3;26;2;2
26;17;AURADOU;1;265;132;133;4;128;3;45;1;6;0;0;2;0;6;44;0;0;0;3;16;1;1
26;79;DAUSSE;1;328;153;175;5;148;3;36;4;5;0;1;6;1;6;39;0;1;0;0;42;4;0
26;105;FRESPECH;1;199;98;101;5;93;0;25;1;6;1;0;4;0;9;14;0;0;1;2;28;0;2
26;117;HAUTEFAGE-LA-TOUR;1;588;241;347;9;232;2;75;9;26;0;2;3;0;9;54;0;0;0;8;41;1;2
26;161;MASSELS;1;90;34;56;0;34;1;14;0;0;0;0;0;0;0;15;0;0;0;0;4;0;0
26;162;MASSOULÈS;1;158;111;47;5;106;2;27;9;2;0;0;1;0;0;33;0;0;0;1;30;0;1
26;203;PENNE-D'AGENAIS;1;820;419;401;15;404;8;101;11;25;1;1;2;1;11;82;0;0;1;15;137;1;7
26;203;PENNE-D'AGENAIS;2;730;320;410;13;307;7;75;5;15;0;0;10;0;4;68;0;0;2;11;100;6;4
26;203;PENNE-D'AGENAIS;3;121;67;54;2;65;0;9;16;3;0;0;0;0;2;21;0;1;0;1;11;1;0
26;203;PENNE-D'AGENAIS;4;132;53;79;1;52;2;16;0;5;0;0;1;1;1;16;0;0;0;0;10;0;0
26;280;SAINT-SYLVESTRE-SUR-LOT;1;817;394;423;16;378;8;89;11;7;0;0;15;2;7;120;0;0;5;12;92;7;3
26;280;SAINT-SYLVESTRE-SUR-LOT;2;875;418;457;18;400;8;137;3;16;2;0;20;0;15;85;0;3;0;11;95;4;1
26;314;TRÉMONS;1;251;135;116;1;134;2;50;2;6;0;0;1;0;1;33;0;0;1;5;29;2;2
26;315;TRENTELS;1;331;162;169;4;158;4;51;0;4;0;1;7;1;3;41;0;0;0;4;41;0;1
26;315;TRENTELS;2;270;127;143;8;119;1;14;1;16;1;0;5;1;1;37;0;0;0;3;35;1;3
28;73;COURS;1;165;76;89;0;76;2;23;0;2;0;1;1;0;5;20;0;0;1;2;15;2;2
28;111;GRANGES-SUR-LOT;1;439;141;298;6;135;9;37;1;5;1;1;1;2;1;27;0;0;0;8;35;7;0
28;125;LACÉPÈDE;1;248;108;140;2;106;3;42;0;1;0;0;2;0;1;18;0;0;0;2;14;21;2
28;140;LAUGNAC;1;462;196;266;15;181;3;48;2;2;0;0;0;1;3;48;0;0;2;5;47;14;6
28;154;LUSIGNAN-PETIT;1;250;110;140;7;103;1;28;2;4;0;1;1;0;9;34;0;0;2;5;10;6;0
28;155;MADAILLAN;1;484;190;294;6;184;3;69;1;9;3;1;1;0;8;44;0;0;0;7;32;5;1
28;190;MONTPEZAT;1;426;203;223;6;197;2;67;4;9;3;0;7;0;10;56;0;1;0;4;26;7;1
28;213;PRAYSSAS;1;739;366;373;23;343;4;73;2;21;3;0;6;0;12;107;0;0;2;18;71;18;6
28;276;SAINT-SARDOS;1;233;114;119;3;111;2;37;1;2;0;0;0;0;3;39;0;0;0;3;19;4;1
30;6;ALLEZ-ET-CAZENEUVE;1;447;204;243;5;199;11;60;5;15;0;3;2;5;6;37;0;1;2;4;44;1;3
30;81;DOLMAYRAC;1;505;223;282;13;210;8;60;3;9;2;0;2;0;9;46;0;1;0;6;52;8;4
30;252;SAINTE-LIVRADE-SUR-LOT;1;971;375;596;15;360;20;113;6;13;6;0;3;0;10;92;0;0;2;9;71;7;8
30;252;SAINTE-LIVRADE-SUR-LOT;2;942;347;595;12;335;23;112;5;16;7;1;9;0;4;90;0;0;0;8;52;6;2
30;252;SAINTE-LIVRADE-SUR-LOT;3;1118;496;622;16;480;31;161;8;31;3;0;5;1;10;115;0;1;2;14;77;18;3
30;252;SAINTE-LIVRADE-SUR-LOT;4;1095;435;660;11;424;48;118;5;19;8;2;7;0;18;89;0;0;1;10;89;5;5
30;306;LE TEMPLE-SUR-LOT;1;761;319;442;12;307;9;108;3;6;1;0;2;2;5;65;0;0;3;12;58;32;1
33;11;ANTHÉ;1;144;65;79;3;62;0;11;2;5;0;0;5;0;1;13;0;0;0;4;19;1;1
33;36;BOURLENS;1;276;133;143;4;129;1;44;1;3;1;0;0;0;4;46;0;0;0;0;27;0;2
33;64;CAZIDEROQUE;1;202;102;100;4;98;0;14;1;5;1;0;0;0;4;27;0;0;0;2;40;2;2
33;72;COURBIAC;1;92;42;50;1;41;0;9;0;3;0;0;1;0;2;12;0;2;0;2;8;2;0
33;160;MASQUIÈRES;1;133;62;71;1;61;0;12;0;3;0;0;0;0;0;17;0;0;0;0;22;2;5
33;185;MONTAYRAL;1;810;359;451;19;340;1;67;2;13;0;0;1;0;3;120;0;0;0;14;114;0;5
33;185;MONTAYRAL;2;438;215;223;5;210;3;40;3;12;1;0;0;2;1;73;0;1;0;2;56;9;7
33;185;MONTAYRAL;3;511;239;272;11;228;4;51;0;5;0;0;1;0;3;78;0;0;0;9;69;1;7
33;185;MONTAYRAL;4;517;228;289;11;217;2;44;3;9;0;0;0;1;3;77;0;0;0;12;61;3;2
33;283;SAINT-VITE;1;820;376;444;18;358;5;86;1;15;8;1;1;0;1;95;0;1;1;15;110;6;12
33;307;THÉZAC;1;132;77;55;1;76;0;25;0;2;0;0;0;0;6;25;0;0;0;2;13;3;0
33;312;TOURNON-D'AGENAIS;1;486;226;260;10;216;4;38;3;9;0;0;3;0;9;90;0;1;0;4;49;5;1
33;328;SAINT-GEORGES;1;410;226;184;10;216;1;57;0;9;0;0;0;1;2;87;0;0;0;7;47;3;2
34;146;LÉDAT;1;504;250;254;15;235;9;71;1;10;0;0;1;1;10;52;0;0;2;8;64;5;1
34;146;LÉDAT;2;409;216;193;14;202;5;74;3;7;1;0;2;0;3;59;0;0;0;5;38;4;1
34;323;VILLENEUVE-SUR-LOT;1;688;296;392;19;277;6;64;6;24;5;1;10;1;12;78;0;2;2;8;54;2;2
34;323;VILLENEUVE-SUR-LOT;2;872;370;502;27;343;9;79;3;16;6;0;23;0;10;79;0;1;2;7;103;3;2
34;323;VILLENEUVE-SUR-LOT;3;939;391;548;29;362;7;102;6;25;2;0;12;0;9;80;0;1;2;15;95;5;1
34;323;VILLENEUVE-SUR-LOT;4;810;362;448;12;350;8;88;2;29;0;1;11;1;13;85;0;1;1;8;97;1;4
34;323;VILLENEUVE-SUR-LOT;5;794;381;413;15;366;13;93;4;16;1;0;11;0;11;100;0;0;1;12;94;6;4
34;323;VILLENEUVE-SUR-LOT;6;965;407;558;17;390;12;85;8;20;1;0;15;0;9;95;0;1;2;7;122;5;8
34;323;VILLENEUVE-SUR-LOT;7;970;424;546;23;401;9;116;9;22;0;0;10;0;16;112;0;0;5;6;93;1;2
34;323;VILLENEUVE-SUR-LOT;8;1166;482;684;31;451;9;133;11;24;9;0;11;0;9;119;0;0;2;13;101;9;1
34;323;VILLENEUVE-SUR-LOT;9;835;352;483;30;322;5;91;4;15;4;1;9;1;6;80;0;0;3;13;86;2;2
34;323;VILLENEUVE-SUR-LOT;10;995;461;534;20;441;6;142;9;20;2;1;30;0;8;95;0;3;4;10;104;7;0
34;323;VILLENEUVE-SUR-LOT;11;169;91;78;3;88;0;11;2;6;0;0;6;0;5;35;0;0;0;2;17;1;3
34;323;VILLENEUVE-SUR-LOT;12;391;172;219;10;162;3;38;6;5;1;0;3;0;2;44;0;0;0;10;47;1;2
34;323;VILLENEUVE-SUR-LOT;13;311;141;170;4;137;0;62;2;3;0;0;0;0;6;26;0;0;0;4;34;0;0
34;323;VILLENEUVE-SUR-LOT;14;870;383;487;15;368;6;124;6;16;1;2;26;2;8;87;0;0;4;12;73;0;1
35;37;BOURNEL;1;158;53;105;1;52;1;18;1;2;0;0;2;0;2;12;0;1;2;1;10;0;0
35;80;DÉVILLAC;1;116;66;50;4;62;0;20;0;4;2;1;1;0;1;12;0;0;0;2;19;0;0
35;83;DOUDRAC;1;60;36;24;3;33;0;13;1;0;0;0;0;1;0;9;0;0;0;0;8;0;1
35;164;MAZIÈRES-NARESSE;1;103;54;49;4;50;1;6;0;1;0;0;0;0;2;29;0;0;0;2;8;0;1
35;184;MONTAUT;1;185;86;99;10;76;1;31;0;6;0;0;1;0;0;15;0;1;0;3;18;0;0
35;200;PARRANQUET;1;101;44;57;1;43;0;13;1;0;0;0;0;1;0;17;0;0;0;1;7;3;0
35;219;RAYET;1;134;54;80;5;49;1;14;1;1;0;0;0;0;1;17;0;0;0;2;12;0;0
35;223;RIVES;1;187;95;92;11;84;3;13;1;4;0;0;1;0;4;31;0;0;0;4;18;2;3
35;240;SAINT-ETIENNE-DE-VILLERÉAL;1;245;123;122;8;115;2;26;2;8;1;0;1;0;4;24;0;0;0;6;40;0;1
35;241;SAINT-EUTROPE-DE-BORN;1;489;205;284;17;188;7;52;7;8;0;0;2;1;7;45;0;0;1;6;46;1;5
35;256;SAINT-MARTIN-DE-VILLERÉAL;1;96;58;38;4;54;3;8;0;1;0;0;0;1;3;23;0;0;0;2;13;0;0
35;311;TOURLIAC;1;96;49;47;0;49;1;17;1;1;0;0;0;0;2;15;0;0;2;2;7;1;0
35;324;VILLERÉAL;1;871;383;488;23;360;3;88;2;14;5;1;6;0;7;110;0;1;3;12;99;6;3
39;27;BIAS;1;876;376;500;15;361;31;101;6;18;0;0;8;1;8;92;0;0;0;9;76;5;6
39;27;BIAS;2;894;412;482;9;403;17;133;3;21;2;0;8;1;9;82;0;0;2;15;101;5;4
39;27;BIAS;3;685;311;374;14;297;8;96;4;8;1;0;5;2;3;93;0;0;1;11;59;4;2
39;215;PUJOLS;1;540;254;286;8;246;8;72;4;24;1;1;10;1;9;54;0;0;0;9;45;7;1
39;215;PUJOLS;2;637;285;352;15;270;5;90;4;11;0;0;11;0;14;53;0;0;2;9;59;9;3
39;215;PUJOLS;3;683;321;362;21;300;8;104;9;20;0;0;7;1;4;69;0;2;0;7;63;2;4
39;215;PUJOLS;4;564;251;313;13;238;5;72;4;17;2;2;10;0;8;49;0;0;2;4;54;6;3
39;215;PUJOLS;5;469;253;216;11;242;2;58;3;6;1;0;5;0;16;55;0;0;1;6;85;3;1
39;228;SAINT-ANTOINE-DE-FICALBA;1;481;196;285;15;181;3;46;3;14;2;0;3;0;11;27;0;0;2;11;50;7;2
39;237;SAINTE-COLOMBE-DE-VILLENEUVE;1;340;163;177;12;151;5;44;2;16;1;1;2;0;7;36;0;0;0;6;28;2;1
39;297;SEMBAS;1;121;53;68;5;48;0;7;1;3;0;1;2;0;3;20;0;0;0;0;9;2;0
39;323;VILLENEUVE-SUR-LOT;15;703;292;411;17;275;5;71;4;16;1;0;10;0;9;60;0;3;0;7;83;4;2
39;323;VILLENEUVE-SUR-LOT;16;962;381;581;23;358;6;105;10;16;4;0;20;1;15;67;0;1;1;16;93;3;0
39;323;VILLENEUVE-SUR-LOT;17;822;314;508;18;296;6;110;6;17;2;0;9;0;11;59;0;0;2;12;60;2;0
39;323;VILLENEUVE-SUR-LOT;18;923;336;587;19;317;6;106;9;30;2;0;8;0;7;48;0;0;1;14;80;5;1
39;323;VILLENEUVE-SUR-LOT;19;887;425;462;18;407;9;102;7;22;4;0;10;1;13;100;0;0;1;12;120;5;1
39;323;VILLENEUVE-SUR-LOT;20;957;398;559;15;383;8;100;11;19;1;0;15;1;8;89;0;0;2;15;109;3;2
39;323;VILLENEUVE-SUR-LOT;21;735;363;372;25;338;8;94;9;15;0;0;9;2;17;89;0;0;1;17;71;4;2

