CodeCommune;Commune;BV;Inscrits;votants;Abstention;blancs et nuls;Exprimés;Bousquet;Costes
6;ALLEZ-ET-CAZENEUVE;1;447;226;221;28;198;109;89
11;ANTHÉ;1;144;73;71;14;59;27;32
17;AURADOU;1;265;151;114;18;133;66;67
23;BEAUGAS;1;244;138;106;22;116;57;59
25;BEAUVILLE;1;401;183;218;42;141;54;87
27;BIAS;1;876;444;432;57;387;171;216
27;BIAS;2;894;493;401;74;419;230;189
27;BIAS;3;685;346;339;32;314;163;151
29;BLANQUEFORT-SUR-BRIOLANCE;1;383;250;133;39;211;81;130
30;BLAYMONT;1;196;98;98;25;73;42;31
33;BOUDY-DE-BEAUREGARD;1;283;161;122;23;138;65;73
36;BOURLENS;1;276;183;93;25;158;73;85
37;BOURNEL;1;158;81;77;7;74;38;36
44;CAHUZAC;1;224;135;89;29;106;52;54
48;CANCON;1;886;496;390;80;416;222;194
49;CASSENEUIL;1;702;353;349;32;321;163;158
49;CASSENEUIL;2;944;486;458;58;428;197;231
50;CASSIGNAS;1;100;59;41;13;46;21;25
53;CASTELLA;1;246;111;135;21;90;42;48
55;CASTELNAUD-DE-GRATECAMBE;1;372;207;165;32;175;100;75
57;CASTILLONNÈS;1;973;507;466;52;455;175;280
62;CAUZAC;1;310;150;160;22;128;76;52
63;CAVARC;1;122;64;58;7;57;30;27
64;CAZIDEROQUE;1;202;114;88;12;102;32;70
70;CONDEZAYGUES;1;677;393;284;79;314;122;192
72;COURBIAC;1;92;58;34;3;55;28;27
73;COURS;1;165;85;80;7;78;37;41
75;LA CROIX-BLANCHE;1;669;294;375;34;260;142;118
77;CUZORN;1;733;478;255;60;418;136;282
79;DAUSSE;1;328;180;148;30;150;72;78
80;DÉVILLAC;1;116;58;58;10;48;26;22
81;DOLMAYRAC;1;505;250;255;32;218;117;101
82;DONDAS;1;190;111;79;24;87;32;55
83;DOUDRAC;1;60;38;22;4;34;18;16
84;DOUZAINS;1;194;121;73;17;104;38;66
87;ENGAYRAC;1;139;61;78;22;39;15;24
96;FERRENSAC;1;159;79;80;15;64;27;37
99;FONGRAVE;1;469;223;246;43;180;96;84
105;FRESPECH;1;199;93;106;16;77;41;36
106;FUMEL;1;553;334;219;31;303;66;237
106;FUMEL;2;936;606;330;88;518;137;381
106;FUMEL;3;714;429;285;44;385;113;272
106;FUMEL;4;274;143;131;16;127;36;91
106;FUMEL;5;557;320;237;25;295;75;220
106;FUMEL;6;738;498;240;46;452;139;313
109;GAVAUDUN;1;215;127;88;19;108;65;43
111;GRANGES-SUR-LOT;1;439;176;263;26;150;75;75
117;HAUTEFAGE-LA-TOUR;1;588;291;297;28;263;148;115
123;LACAPELLE-BIRON;1;356;197;159;57;140;57;83
124;LACAUSSADE;1;167;80;87;9;71;21;50
125;LACÉPÈDE;1;248;136;112;15;121;75;46
132;LALANDUSSE;1;121;78;43;11;67;38;29
138;LAROQUE-TIMBAUT;1;1175;570;605;96;474;242;232
140;LAUGNAC;1;462;234;228;46;188;93;95
141;LAUSSOU;1;222;126;96;24;102;45;57
146;LÉDAT;1;504;291;213;46;245;123;122
146;LÉDAT;2;409;243;166;28;215;102;113
152;LOUGRATTE;1;306;169;137;11;158;79;79
154;LUSIGNAN-PETIT;1;250;133;117;12;121;60;61
155;MADAILLAN;1;484;239;245;31;208;105;103
160;MASQUIÈRES;1;133;67;66;18;49;22;27
161;MASSELS;1;90;47;43;1;46;16;30
162;MASSOULÈS;1;158;107;51;17;90;52;38
164;MAZIÈRES-NARESSE;1;103;73;30;8;65;25;40
170;MONBAHUS;1;500;243;257;29;214;101;113
171;MONBALEN;1;307;137;170;31;106;70;36
173;MONCLAR;1;609;275;334;51;224;112;112
175;MONFLANQUIN;1;890;475;415;96;379;156;223
175;MONFLANQUIN;2;851;450;401;59;391;158;233
178;MONSÉGUR;1;330;183;147;26;157;75;82
179;MONSEMPRON-LIBOS;1;716;405;311;62;343;116;227
179;MONSEMPRON-LIBOS;2;513;287;226;42;245;72;173
179;MONSEMPRON-LIBOS;3;345;160;185;26;134;54;80
181;MONTAGNAC-SUR-LÈDE;1;220;117;103;24;93;45;48
182;MONTASTRUC;1;200;119;81;13;106;58;48
183;MONTAURIOL;1;163;96;67;12;84;43;41
184;MONTAUT;1;185;110;75;23;87;62;25
185;MONTAYRAL;1;810;392;418;72;320;135;185
185;MONTAYRAL;2;438;266;172;57;209;96;113
185;MONTAYRAL;3;511;265;246;30;235;96;139
185;MONTAYRAL;4;517;257;260;54;203;91;112
190;MONTPEZAT;1;426;219;207;19;200;99;101
192;MONVIEL;1;65;36;29;0;36;14;22
193;MOULINET;1;166;92;74;12;80;37;43
198;PAILLOLES;1;243;145;98;26;119;65;54
200;PARRANQUET;1;101;53;48;5;48;22;26
202;PAULHIAC;1;213;113;100;19;94;51;43
203;PENNE-D'AGENAIS;1;820;408;412;79;329;167;162
203;PENNE-D'AGENAIS;2;730;373;357;68;305;140;165
203;PENNE-D'AGENAIS;3;121;68;53;11;57;28;29
203;PENNE-D'AGENAIS;4;132;65;67;11;54;27;27
206;PINEL-HAUTERIVE;1;242;128;114;18;110;49;61
206;PINEL-HAUTERIVE;2;135;70;65;9;61;21;40
213;PRAYSSAS;1;739;388;351;60;328;147;181
215;PUJOLS;1;540;286;254;30;256;128;128
215;PUJOLS;2;637;306;331;61;245;131;114
215;PUJOLS;3;683;368;315;53;315;169;146
215;PUJOLS;4;564;301;263;56;245;122;123
215;PUJOLS;5;469;279;190;51;228;103;125
219;RAYET;1;134;73;61;14;59;33;26
223;RIVES;1;195;109;86;16;93;36;57
228;SAINT-ANTOINE-DE-FICALBA;1;481;227;254;43;184;104;80
230;SAINT-AUBIN;1;340;195;145;26;169;80;89
237;SAINTE-COLOMBE-DE-VILLENEUVE;1;340;203;137;36;167;86;81
239;SAINT-ETIENNE-DE-FOUGÈRES;1;664;320;344;27;293;163;130
240;SAINT-ETIENNE-DE-VILLERÉAL;1;245;141;104;30;111;50;61
241;SAINT-EUTROPE-DE-BORN;1;489;233;256;50;183;76;107
242;SAINT-FRONT-SUR-LÉMANCE;1;258;147;111;8;139;43;96
242;SAINT-FRONT-SUR-LÉMANCE;2;114;79;35;13;66;20;46
242;SAINT-FRONT-SUR-LÉMANCE;3;69;53;16;5;48;11;37
252;SAINTE-LIVRADE-SUR-LOT;1;971;448;523;40;408;193;215
252;SAINTE-LIVRADE-SUR-LOT;2;940;431;509;48;383;203;180
252;SAINTE-LIVRADE-SUR-LOT;3;1117;600;517;65;535;264;271
252;SAINTE-LIVRADE-SUR-LOT;4;1094;573;521;59;514;249;265
255;SAINT-MARTIN-DE-BEAUVILLE;1;124;67;57;8;59;26;33
256;SAINT-MARTIN-DE-VILLERÉAL;1;96;61;35;10;51;12;39
259;SAINT-MAURICE-DE-LESTAPEL;1;99;66;33;8;58;27;31
260;SAINT-MAURIN;1;333;170;163;17;153;81;72
265;SAINT-PASTOUR;1;283;126;157;25;101;53;48
272;SAINT-QUENTIN-DU-DROPT;1;144;82;62;23;59;20;39
273;SAINT-ROBERT;1;155;89;66;37;52;36;16
276;SAINT-SARDOS;1;230;131;99;22;109;58;51
280;SAINT-SYLVESTRE-SUR-LOT;1;817;446;371;52;394;178;216
280;SAINT-SYLVESTRE-SUR-LOT;2;875;502;373;65;437;242;195
283;SAINT-VITE;1;819;432;387;79;353;152;201
284;SALLES;1;216;130;86;22;108;67;41
288;SAUVAGNAS;1;376;144;232;17;127;58;69
289;LA SAUVETAT-DE-SAVÈRES;1;342;140;202;25;115;58;57
291;LA SAUVETAT-SUR-LÈDE;1;430;237;193;28;209;111;98
292;SAUVETERRE-LA-LÉMANCE;1;423;265;158;29;236;71;165
295;SAVIGNAC-SUR-LEYZE;1;234;119;115;21;98;51;47
297;SEMBAS;1;121;63;58;3;60;23;37
299;SÉRIGNAC-PÉBOUDOU;1;118;67;51;13;54;29;25
305;TAYRAC;1;292;155;137;6;149;62;87
306;LE TEMPLE-SUR-LOT;1;761;375;386;46;329;183;146
307;THÉZAC;1;132;81;51;9;72;33;39
309;TOMBEBOEUF;1;325;160;165;16;144;68;76
311;TOURLIAC;1;98;54;44;3;51;28;23
312;TOURNON-D'AGENAIS;1;486;260;226;30;230;80;150
313;TOURTRÈS;1;103;60;43;6;54;25;29
314;TRÉMONS;1;251;147;104;13;134;81;53
315;TRENTELS;1;331;200;131;19;181;74;107
315;TRENTELS;2;270;130;140;28;102;43;59
319;VILLEBRAMAR;1;70;36;34;3;33;22;11
323;VILLENEUVE-SUR-LOT;1;687;301;386;38;263;107;156
323;VILLENEUVE-SUR-LOT;2;872;413;459;68;345;154;191
323;VILLENEUVE-SUR-LOT;3;939;437;502;57;380;171;209
323;VILLENEUVE-SUR-LOT;4;810;395;415;64;331;148;183
323;VILLENEUVE-SUR-LOT;5;794;409;385;56;353;149;204
323;VILLENEUVE-SUR-LOT;6;965;448;517;69;379;189;190
323;VILLENEUVE-SUR-LOT;7;970;501;469;82;419;187;232
323;VILLENEUVE-SUR-LOT;8;1166;562;604;84;478;233;245
323;VILLENEUVE-SUR-LOT;9;835;413;422;59;354;175;179
323;VILLENEUVE-SUR-LOT;10;994;525;469;60;465;249;216
323;VILLENEUVE-SUR-LOT;11;169;105;64;11;94;30;64
323;VILLENEUVE-SUR-LOT;12;391;199;192;21;178;91;87
323;VILLENEUVE-SUR-LOT;13;311;168;143;24;144;93;51
323;VILLENEUVE-SUR-LOT;14;870;459;411;48;411;224;187
323;VILLENEUVE-SUR-LOT;15;703;322;381;47;275;137;138
323;VILLENEUVE-SUR-LOT;16;962;447;515;59;388;185;203
323;VILLENEUVE-SUR-LOT;17;821;382;439;54;328;181;147
323;VILLENEUVE-SUR-LOT;18;922;414;508;60;354;179;175
323;VILLENEUVE-SUR-LOT;19;887;463;424;74;389;181;208
323;VILLENEUVE-SUR-LOT;20;957;471;486;57;414;207;207
323;VILLENEUVE-SUR-LOT;21;735;402;333;48;354;155;199
324;VILLERÉAL;1;871;447;424;65;382;186;196
328;SAINT-GEORGES;1;410;256;154;29;227;77;150

